Date,Weekday
1-1-1980,tue
1-2-1980,wed
1-3-1980,thu
1-4-1980,fri
1-5-1980,sat
1-6-1980,sun
1-7-1980,mon
1-8-1980,tue
1-9-1980,wed
1-10-1980,thu
1-11-1980,fri
1-12-1980,sat
1-13-1980,sun
1-14-1980,mon
1-15-1980,tue
1-16-1980,wed
1-17-1980,thu
1-18-1980,fri
1-19-1980,sat
1-20-1980,sun
1-21-1980,mon
1-22-1980,tue
1-23-1980,wed
1-24-1980,thu
1-25-1980,fri
1-26-1980,sat
1-27-1980,sun
1-28-1980,mon
1-29-1980,tue
1-30-1980,wed
1-31-1980,thu
2-1-1980,fri
2-2-1980,sat
2-3-1980,sun
2-4-1980,mon
2-5-1980,tue
2-6-1980,wed
2-7-1980,thu
2-8-1980,fri
2-9-1980,sat
2-10-1980,sun
2-11-1980,mon
2-12-1980,tue
2-13-1980,wed
2-14-1980,thu
2-15-1980,fri
2-16-1980,sat
2-17-1980,sun
2-18-1980,mon
2-19-1980,tue
2-20-1980,wed
2-21-1980,thu
2-22-1980,fri
2-23-1980,sat
2-24-1980,sun
2-25-1980,mon
2-26-1980,tue
2-27-1980,wed
2-28-1980,thu
2-29-1980,fri
3-1-1980,sat
3-2-1980,sun
3-3-1980,mon
3-4-1980,tue
3-5-1980,wed
3-6-1980,thu
3-7-1980,fri
3-8-1980,sat
3-9-1980,sun
3-10-1980,mon
3-11-1980,tue
3-12-1980,wed
3-13-1980,thu
3-14-1980,fri
3-15-1980,sat
3-16-1980,sun
3-17-1980,mon
3-18-1980,tue
3-19-1980,wed
3-20-1980,thu
3-21-1980,fri
3-22-1980,sat
3-23-1980,sun
3-24-1980,mon
3-25-1980,tue
3-26-1980,wed
3-27-1980,thu
3-28-1980,fri
3-29-1980,sat
3-30-1980,sun
3-31-1980,mon
4-1-1980,tue
4-2-1980,wed
4-3-1980,thu
4-4-1980,fri
4-5-1980,sat
4-6-1980,sun
4-7-1980,mon
4-8-1980,tue
4-9-1980,wed
4-10-1980,thu
4-11-1980,fri
4-12-1980,sat
4-13-1980,sun
4-14-1980,mon
4-15-1980,tue
4-16-1980,wed
4-17-1980,thu
4-18-1980,fri
4-19-1980,sat
4-20-1980,sun
4-21-1980,mon
4-22-1980,tue
4-23-1980,wed
4-24-1980,thu
4-25-1980,fri
4-26-1980,sat
4-27-1980,sun
4-28-1980,mon
4-29-1980,tue
4-30-1980,wed
5-1-1980,thu
5-2-1980,fri
5-3-1980,sat
5-4-1980,sun
5-5-1980,mon
5-6-1980,tue
5-7-1980,wed
5-8-1980,thu
5-9-1980,fri
5-10-1980,sat
5-11-1980,sun
5-12-1980,mon
5-13-1980,tue
5-14-1980,wed
5-15-1980,thu
5-16-1980,fri
5-17-1980,sat
5-18-1980,sun
5-19-1980,mon
5-20-1980,tue
5-21-1980,wed
5-22-1980,thu
5-23-1980,fri
5-24-1980,sat
5-25-1980,sun
5-26-1980,mon
5-27-1980,tue
5-28-1980,wed
5-29-1980,thu
5-30-1980,fri
5-31-1980,sat
6-1-1980,sun
6-2-1980,mon
6-3-1980,tue
6-4-1980,wed
6-5-1980,thu
6-6-1980,fri
6-7-1980,sat
6-8-1980,sun
6-9-1980,mon
6-10-1980,tue
6-11-1980,wed
6-12-1980,thu
6-13-1980,fri
6-14-1980,sat
6-15-1980,sun
6-16-1980,mon
6-17-1980,tue
6-18-1980,wed
6-19-1980,thu
6-20-1980,fri
6-21-1980,sat
6-22-1980,sun
6-23-1980,mon
6-24-1980,tue
6-25-1980,wed
6-26-1980,thu
6-27-1980,fri
6-28-1980,sat
6-29-1980,sun
6-30-1980,mon
7-1-1980,tue
7-2-1980,wed
7-3-1980,thu
7-4-1980,fri
7-5-1980,sat
7-6-1980,sun
7-7-1980,mon
7-8-1980,tue
7-9-1980,wed
7-10-1980,thu
7-11-1980,fri
7-12-1980,sat
7-13-1980,sun
7-14-1980,mon
7-15-1980,tue
7-16-1980,wed
7-17-1980,thu
7-18-1980,fri
7-19-1980,sat
7-20-1980,sun
7-21-1980,mon
7-22-1980,tue
7-23-1980,wed
7-24-1980,thu
7-25-1980,fri
7-26-1980,sat
7-27-1980,sun
7-28-1980,mon
7-29-1980,tue
7-30-1980,wed
7-31-1980,thu
8-1-1980,fri
8-2-1980,sat
8-3-1980,sun
8-4-1980,mon
8-5-1980,tue
8-6-1980,wed
8-7-1980,thu
8-8-1980,fri
8-9-1980,sat
8-10-1980,sun
8-11-1980,mon
8-12-1980,tue
8-13-1980,wed
8-14-1980,thu
8-15-1980,fri
8-16-1980,sat
8-17-1980,sun
8-18-1980,mon
8-19-1980,tue
8-20-1980,wed
8-21-1980,thu
8-22-1980,fri
8-23-1980,sat
8-24-1980,sun
8-25-1980,mon
8-26-1980,tue
8-27-1980,wed
